,Category,Impression,Variable,Transformation,factor,c,d,Max,Cost/Impression
0,Digital,DIR.PREM.lags.2,DIR.PREM,lags,2,0,0,95000000,0.007152822
1,DM,DM.lags.3,DM,lags,3,0.0006,1,5000000,0.5
2,Ext. Email,EXT_EM.lags.3,EXT_EM,lags,3,0.0001,1.4,121000000,0.004588637
3,MAGAZINE,MAGAZINE.60,MAGAZINE,adstock,60,0.0001,1.2,14000000,0.01282404
4,Print,NPP.65,NPP,adstock,65,0.0003,1.1,19000000,0.006120593
5,OOH,OOH,OOH,,,0.0001,1.4,39000000,
6,Digital,PAID.SOCIAL.lags.3,PAID.SOCIAL,lags,3,0.0001,1.3,38000000,0.008653611
7,PR,PR.50,PR,adstock,50,0.0001,1,141000000,0.001476926
8,Digital,PROGRAMMATIC.lags.3,PROGRAMMATIC,lags,3,0.0001,1.2,150000000,0.007152822
9,RADIO,RADIO.70,RADIO,adstock,70,0.0009,1.1,34000000,0.003945154
10,Paid Search,SEARCH.lags.2,SEARCH,lags,2,0.0001,1.3,4000000,0.197062679
11,Email,STRG_Delivered,STRG_Delivered,,,0,0,3000000,0.002544456
12,Email,Tact_Delivered,Tact_Delivered,,,0.0001,1.2,6000000,0.002544456
13,TRADE.COOP,TRADE.COOP.lags.3,TRADE.COOP,lags,3,0.0001,1.2,239000000,0.011560444
14,TRADE.DMA_OTHER,TRADE.DMA_OTHER.lags.3,TRADE.DMA_OTHER,lags,3,0.0001,1.3,174000000,0.011560444
15,TV,TV.80,TV,adstock,80,0.0009,1.1,95000000,0.030881975
16,Email,WAVE_Delivered,WAVE_Delivered,,,0,0,4000000,0.002544456
