Category,Impression,Variable,Transformation,factor,c,d,Max,Cost/Impression
Digital,DIR.PREM.lags.2,DIR.PREM,lags,2,0,0,95000000,0.007152822
DM,DM.lags.3,DM,lags,3,0.0006,1,5000000,0.5
Ext. Email,EXT_EM.lags.3,EXT_EM,lags,3,0.0001,1.4,121000000,0.004588637
MAGAZINE,MAGAZINE.60,MAGAZINE,adstock,60,0.0001,1.2,14000000,0.01282404
Print,NPP.65,NPP,adstock,65,0.0003,1.1,19000000,0.006120593
OOH,OOH,OOH,,,0.0001,1.4,39000000,
Digital,PAID.SOCIAL.lags.3,PAID.SOCIAL,lags,3,0.0001,1.3,38000000,0.008653611
PR,PR.50,PR,adstock,50,0.0001,1,141000000,0.001476926
Digital,PROGRAMMATIC.lags.3,PROGRAMMATIC,lags,3,0.0001,1.2,150000000,0.007152822
RADIO,RADIO.70,RADIO,adstock,70,0.0009,1.1,34000000,0.003945154
Paid Search,SEARCH.lags.2,SEARCH,lags,2,0.0001,1.3,4000000,0.197062679
Email,STRG_Delivered,STRG_Delivered,,,0,0,3000000,0.002544456
Email,Tact_Delivered,Tact_Delivered,,,0.0001,1.2,6000000,0.002544456
TRADE.COOP,TRADE.COOP.lags.3,TRADE.COOP,lags,3,0.0001,1.2,239000000,0.011560444
TRADE.DMA_OTHER,TRADE.DMA_OTHER.lags.3,TRADE.DMA_OTHER,lags,3,0.0001,1.3,174000000,0.011560444
TV,TV.80,TV,adstock,80,0.0009,1.1,95000000,0.030881975
Email,WAVE_Delivered,WAVE_Delivered,,,0,0,4000000,0.002544456
